,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Empty_Seats,Available_Seat_Miles,Revenue_Passenger_Mile,Missed_Revenue_Miles,Avg_Seats_per_Flight
1337604,JFK,MCO,"New York, NY","Orlando, FL",37211,48828,313,944,2006-05,37651266,1999994,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,11617,46093632,35127184,10966448,156.0
1337613,JFK,MCO,"New York, NY","Orlando, FL",44939,50856,326,944,2006-03,37651266,1999994,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,5917,48008064,42422416,5585648,156.0
1337619,JFK,MCO,"New York, NY","Orlando, FL",50704,53040,340,944,2006-07,37651266,1999994,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,2336,50069760,47864576,2205184,156.0
1337649,JFK,MCO,"New York, NY","Orlando, FL",41573,45552,292,944,2006-11,37651266,1999994,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,3979,43001088,39244912,3756176,156.0
1337667,JFK,MCO,"New York, NY","Orlando, FL",44088,48984,314,944,2006-12,37651266,1999994,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102,4896,46240896,41619072,4621824,156.0
1337692,CLT,MCO,"Charlotte, NC","Orlando, FL",31909,41302,214,468,2006-08,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,9393,19329336,14933412,4395924,193.0
1337788,CLT,MCO,"Charlotte, NC","Orlando, FL",36419,44037,229,468,2006-12,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,7618,20609316,17044092,3565224,192.0
1337795,CLT,MCO,"Charlotte, NC","Orlando, FL",29367,46899,243,468,2006-01,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,17532,21948732,13743756,8204976,193.0
1337828,CLT,MCO,"Charlotte, NC","Orlando, FL",29573,44187,229,468,2006-09,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,14614,20679516,13840164,6839352,193.0
1337833,CLT,MCO,"Charlotte, NC","Orlando, FL",35400,41495,215,468,2006-05,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,6095,19419660,16567200,2852460,193.0
1337840,CLT,MCO,"Charlotte, NC","Orlando, FL",36876,45335,235,468,2006-10,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,8459,21216780,17257968,3958812,193.0
1337892,CLT,MCO,"Charlotte, NC","Orlando, FL",37480,43874,228,468,2006-11,1583869,1999994,35.2140007019043,-80.9430999755859,28.4293994903564,-81.3089981079102,6394,20533032,17540640,2992392,192.0
1338369,IAD,MCO,"Washington, DC","Orlando, FL",26993,32118,206,758,2006-11,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,5125,24345444,20460694,3884750,156.0
1338413,IAD,MCO,"Washington, DC","Orlando, FL",25120,32964,212,758,2006-01,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,7844,24986712,19040960,5945752,155.0
1338431,IAD,MCO,"Washington, DC","Orlando, FL",26607,30912,200,758,2006-02,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,4305,23431296,20168106,3263190,155.0
1338454,IAD,MCO,"Washington, DC","Orlando, FL",28662,33834,217,758,2006-12,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,5172,25646172,21725796,3920376,156.0
1338460,IAD,MCO,"Washington, DC","Orlando, FL",25531,33366,214,758,2006-08,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,7835,25291428,19352498,5938930,156.0
1338501,IAD,MCO,"Washington, DC","Orlando, FL",27573,33366,214,758,2006-07,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,5793,25291428,20900334,4391094,156.0
1338522,IAD,MCO,"Washington, DC","Orlando, FL",32445,36030,232,758,2006-03,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,3585,27310740,24593310,2717430,155.0
1338554,IAD,MCO,"Washington, DC","Orlando, FL",28086,32082,206,758,2006-06,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,3996,24318156,21289188,3028968,156.0
1338583,IAD,MCO,"Washington, DC","Orlando, FL",30848,34908,224,758,2006-04,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,4060,26460264,23382784,3077480,156.0
1338599,IAD,MCO,"Washington, DC","Orlando, FL",27484,33522,215,758,2006-05,10530024,1999994,38.94449997,-77.45580292,28.4293994903564,-81.3089981079102,6038,25409676,20832872,4576804,156.0
1341383,DFW,MCO,"Dallas, TX","Orlando, FL",43672,51872,276,984,2007-10,12313304,2034878,32.896800994873,-97.0380020141602,28.4293994903564,-81.3089981079102,8200,51042048,42973248,8068800,188.0
1341384,DFW,MCO,"Dallas, TX","Orlando, FL",42063,49068,261,984,2007-11,12313304,2034878,32.896800994873,-97.0380020141602,28.4293994903564,-81.3089981079102,7005,48282912,41389992,6892920,188.0
1341491,DFW,MCO,"Dallas, TX","Orlando, FL",34781,46096,246,984,2007-09,12313304,2034878,32.896800994873,-97.0380020141602,28.4293994903564,-81.3089981079102,11315,45358464,34224504,11133960,187.0
1341614,EWR,MCO,"Newark, NJ","Orlando, FL",41040,46440,215,938,2007-03,18901167,2034878,40.6925010681152,-74.168701171875,28.4293994903564,-81.3089981079102,5400,43560720,38495520,5065200,216.0
1341630,EWR,MCO,"Newark, NJ","Orlando, FL",42872,47088,218,938,2007-04,18901167,2034878,40.6925010681152,-74.168701171875,28.4293994903564,-81.3089981079102,4216,44168544,40213936,3954608,216.0
1341645,EWR,MCO,"Newark, NJ","Orlando, FL",25176,35350,202,938,2007-01,18901167,2034878,40.6925010681152,-74.168701171875,28.4293994903564,-81.3089981079102,10174,33158300,23615088,9543212,175.0
1341658,MDW,MCO,"Chicago, IL","Orlando, FL",21606,33017,241,989,2007-10,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,11411,32653813,21368334,11285479,137.0
1341671,MDW,MCO,"Chicago, IL","Orlando, FL",12660,28615,209,989,2007-09,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,15955,28300235,12520740,15779495,137.0
1341681,MDW,MCO,"Chicago, IL","Orlando, FL",17787,30816,225,989,2007-08,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,13029,30477024,17591343,12885681,137.0
1341707,ORD,MCO,"Chicago, IL","Orlando, FL",32333,33594,218,1005,2007-03,18903872,2034878,41.97859955,-87.90480042,28.4293994903564,-81.3089981079102,1261,33761970,32494665,1267305,154.0
1341719,MDW,MCO,"Chicago, IL","Orlando, FL",22468,30962,226,989,2007-12,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,8494,30621418,22220852,8400566,137.0
1341724,ORD,MCO,"Chicago, IL","Orlando, FL",28730,33072,212,1005,2007-05,18903872,2034878,41.97859955,-87.90480042,28.4293994903564,-81.3089981079102,4342,33237360,28873650,4363710,156.0
1341725,MDW,MCO,"Chicago, IL","Orlando, FL",21111,31373,229,989,2007-05,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,10262,31027897,20878779,10149118,137.0
1341740,ORD,MCO,"Chicago, IL","Orlando, FL",28717,32496,209,1005,2007-04,18903872,2034878,41.97859955,-87.90480042,28.4293994903564,-81.3089981079102,3779,32658480,28860585,3797895,155.0
1341778,MDW,MCO,"Chicago, IL","Orlando, FL",25795,30131,220,989,2007-06,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,4336,29799559,25511255,4288304,137.0
1341825,MDW,MCO,"Chicago, IL","Orlando, FL",20154,30807,225,989,2007-11,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,10653,30468123,19932306,10535817,137.0
1341828,MDW,MCO,"Chicago, IL","Orlando, FL",20611,27528,201,989,2007-01,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,6917,27225192,20384279,6840913,137.0
1341852,MDW,MCO,"Chicago, IL","Orlando, FL",19954,30140,220,989,2007-04,18903872,2034878,41.7859992980957,-87.7524032592773,28.4293994903564,-81.3089981079102,10186,29808460,19734506,10073954,137.0
